Name,Type,MainMuscle,SecondaryMuscles,Equipment,MechanicsType,Level,Sport,Force
Face Pull,Strength,Shoulders, MiddleBack,Cable,Compound,Intermediate,No,Pull
Fast Skipping,Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
Flat Bench Cable Flyes,Strength,Chest,0,Cable,Isolation,Intermediate,No,Push
Flat Bench Lying Leg Raise,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Floor Glute-Ham Raise,Strength,Hamstrings, Calves Glutes,None,Isolation,Intermediate,No,Pull
Floor Press with Chains,Powerlifting,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
Foot-SMR,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
Frankenstein Squat,OlympicWeightlifting,Quadriceps, Abdominals Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
Frog Hops,Stretching,Quadriceps, Calves Glutes Hamstrings,None,Compound,Intermediate,No,Push
Front Barbell Squat,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Expert,No,Push
Front Box Jump,Plyometrics,Hamstrings, Abductors Adductors Calves Glutes Quadriceps,Other,Compound,Beginner,No,Push
Front Cone Hops (or hurdle hops),Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,Compound,Beginner,No,Push
Front Incline Dumbbell Raise,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Front Plate Raise,Strength,Shoulders,0,Other,Isolation,Intermediate,No,Push
Front Squat (Clean Grip),Strength,Quadriceps, Abdominals Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
Front Two-Dumbbell Raise,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
'Farmer''s Walk',Strongman,Forearms, Abdominals Glutes Hamstrings LowerBack Quadriceps Traps,Other,Compound,Intermediate,Yes,N/A
Finger Curls,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
Flat Bench Leg Pull-In,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Flexor Incline Dumbbell Curls,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Floor Press,Powerlifting,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
Flutter Kicks,Strength,Glutes, Hamstrings,BodyOnly,Compound,Beginner,No,Pull
Forward Drag with Press,Strongman,Chest, Calves Glutes Hamstrings Quadriceps Shoulders Triceps,Other,Compound,Intermediate,No,Push
Freehand Jump Squat,Strength,Quadriceps, Calves Glutes Hamstrings,BodyOnly,Compound,Intermediate,No,Push
Frog Sit-Ups,Strength,Abdominals,0,BodyOnly,Isolation,Intermediate,No,Pull
Front Barbell Squat To A Bench,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Expert,No,Push
Front Cable Raise,Strength,Shoulders,0,Cable,Isolation,Beginner,No,Push
Front Dumbbell Raise,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Front Leg Raises,Stretching,Hamstrings,0,BodyOnly,N/A,Beginner,No,Pull
Front Raise And Pullover,Strength,Chest, Lats Shoulders Triceps,Barbell,Compound,Beginner,No,Pull
Front Squats With Two Kettlebells,Strength,Quadriceps, Calves Glutes,Kettlebells,Compound,Intermediate,No,Push
Full Range-Of-Motion Lat Pulldown,Strength,Lats, Biceps MiddleBack Shoulders,Cable,Compound,Intermediate,No,Pull
Gironda Sternum Chins,Strength,Lats, Biceps MiddleBack,Other,Compound,Intermediate,No,Pull
Glute Kickback,Strength,Glutes, Hamstrings,BodyOnly,Compound,Beginner,No,Push
Good Morning,Powerlifting,Hamstrings, Abdominals Glutes LowerBack,Barbell,Compound,Intermediate,No,Push
Gorilla Chin/Crunch,Strength,Abdominals, Biceps Lats,BodyOnly,Compound,Intermediate,No,Pull
Groiners,Stretching,Adductors,0,BodyOnly,Compound,Intermediate,No,Pull
Glute Ham Raise,Powerlifting,Hamstrings, Calves Glutes,Machine,Compound,Intermediate,No,Pull
Goblet Squat,Strength,Quadriceps, Calves Glutes Hamstrings Shoulders,Kettlebells,Compound,Beginner,No,Push
Good Morning off Pins,Powerlifting,Hamstrings, Abdominals Glutes LowerBack,Barbell,Compound,Intermediate,No,Push
Groin and Back Stretch,Stretching,Adductors,0,None,Compound,Intermediate,No,Static
Hack Squat,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Beginner,No,Push
Hammer Grip Incline DB Bench Press,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
Hamstring-SMR,Stretching,Hamstrings,0,FoamRoll,Isolation,Beginner,No,Static
Hang Clean,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
Hang Snatch,OlympicWeightlifting,Hamstrings, Abdominals Calves Forearms Glutes LowerBack Quadriceps Shoulders Traps,Barbell,Compound,Expert,No,Pull
Hanging Bar Good Morning,Powerlifting,Hamstrings, Abdominals Glutes LowerBack,Barbell,Compound,Intermediate,No,Push
Hanging Pike,Strength,Abdominals,0,BodyOnly,Compound,Expert,No,Pull
Heavy Bag Thrust,Plyometrics,Chest, Abdominals Shoulders Triceps,Other,Compound,Beginner,No,Push
Hip Circles (prone),Stretching,Abductors, Adductors,BodyOnly,Isolation,Beginner,No,Pull
Hip Extension with Bands,Strength,Glutes, Hamstrings,Bands,Compound,Beginner,No,Push
Hip Lift with Band,Powerlifting,Glutes, Calves Hamstrings,Bands,Compound,Beginner,No,Push
Hug Knees To Chest,Stretching,LowerBack, Glutes,None,N/A,Beginner,No,Static
Hyperextensions (Back Extensions),Strength,LowerBack, Glutes Hamstrings,Other,Isolation,Beginner,No,Pull
Hammer Curls,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Hamstring Stretch,Stretching,Hamstrings,0,None,Isolation,Beginner,No,Static
Handstand Push-Ups,Strength,Shoulders, Triceps,BodyOnly,Compound,Expert,No,Push
Hang Clean - Below the Knees,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
Hang Snatch - Below Knees,OlympicWeightlifting,Hamstrings, Abdominals Calves Forearms Glutes LowerBack Quadriceps Shoulders Traps,Barbell,Compound,Expert,No,Pull
Hanging Leg Raise,Strength,Abdominals,0,BodyOnly,Isolation,Expert,No,Pull
Heaving Snatch Balance,OlympicWeightlifting,Quadriceps, Abdominals Forearms Glutes Hamstrings Shoulders Triceps,Barbell,Compound,Intermediate,No,Push
High Cable Curls,Strength,Biceps,0,Cable,Compound,Intermediate,No,Pull
Hip Crossover,Stretching,Abductors,0,BodyOnly,Compound,Beginner,No,Pull
Hip Flexion with Band,Strength,Quadriceps,0,Bands,Compound,Beginner,No,Pull
Hug A Ball,Stretching,LowerBack, Calves Glutes,ExerciseBall,Isolation,Beginner,No,Static
Hurdle Hops,Plyometrics,Hamstrings, Abductors Adductors Calves Glutes Hamstrings,Other,Compound,Beginner,No,Push
Hyperextensions With No Hyperextension Bench,Strength,LowerBack, Glutes Hamstrings,BodyOnly,Compound,Intermediate,No,Pull
Iliotibial Tract-SMR,Stretching,Abductors,0,FoamRoll,Isolation,Intermediate,No,Static
Incline Bench Pull,Strength,MiddleBack, Lats Shoulders,Barbell,Isolation,Beginner,No,Pull
Incline Cable Flye,Strength,Chest, Shoulders,Cable,Isolation,Intermediate,No,Push
Incline Dumbbell Curl,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Incline Dumbbell Flyes - With A Twist,Strength,Chest, Shoulders,Dumbbell,Compound,Beginner,No,Push
Incline Hammer Curls,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Incline Push-Up,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Incline Push-Up Depth Jump,Plyometrics,Chest, Shoulders Triceps,Other,Compound,Beginner,No,Push
Incline Push-Up Reverse Grip,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Intermediate Groin Stretch,Stretching,Hamstrings,0,Other,Isolation,Intermediate,No,Static
Internal Rotation with Band,Strength,Shoulders,0,Bands,Isolation,Beginner,No,N/A
Inverted Row with Straps,Strength,MiddleBack, Biceps Lats,Other,Compound,Beginner,No,Pull
Iron Crosses (stretch),Stretching,Quadriceps,0,None,Compound,Intermediate,No,Pull
Isometric Neck Exercise - Front And Back,Strength,Neck,0,BodyOnly,Isolation,Beginner,No,Static
Isometric Wipers,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Incline Barbell Triceps Extension,Strength,Triceps, Forearms,Barbell,Isolation,Intermediate,No,Push
Incline Cable Chest Press,Strength,Chest, Shoulders Triceps,Cable,Compound,Beginner,No,Push
Incline Dumbbell Bench With Palms Facing In,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
Incline Dumbbell Flyes,Strength,Chest, Shoulders,Dumbbell,Compound,Beginner,No,Push
Incline Dumbbell Press,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
Incline Inner Biceps Curl,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,N/A
Incline Push-Up Close-Grip,Strength,Triceps, Chest Shoulders,BodyOnly,Compound,Beginner,No,Push
Incline Push-Up Medium,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Incline Push-Up Wide,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Intermediate Hip Flexor and Quad Stretch,Stretching,Quadriceps,0,Other,Compound,Intermediate,No,Static
Inverted Row,Strength,MiddleBack, Lats,None,Compound,Beginner,No,Pull
Iron Cross,Strength,Shoulders, Chest Glutes Hamstrings LowerBack Quadriceps Traps,Dumbbell,Compound,Intermediate,No,Push
Isometric Chest Squeezes,Plyometrics,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,Both,No
Isometric Neck Exercise - Sides,Strength,Neck,0,BodyOnly,Isolation,Beginner,No,Static
IT Band and Glute Stretch,Stretching,Abductors,0,Other,N/A,Intermediate,No,Static
Jackknife Sit-Up,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Jefferson Squats,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack Traps,Barbell,Compound,Intermediate,No,Push
Jerk Dip Squat,OlympicWeightlifting,Quadriceps, Abdominals Calves,Barbell,Compound,Intermediate,No,Push
Jogging-Treadmill,Cardio,Quadriceps, Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
Janda Sit-Up,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Jerk Balance,OlympicWeightlifting,Shoulders, Glutes Hamstrings Quadriceps Triceps,Barbell,Compound,Intermediate,No,Push
JM Press,Strength,Triceps, Chest Shoulders,Barbell,Compound,Beginner,No,Push
Keg Load,Strongman,LowerBack, Abdominals Biceps Calves Forearms Glutes Hamstrings MiddleBack Quadriceps Shoulders Traps,Other,Compound,Intermediate,Yes,Pull
Kettlebell Dead Clean,Strength,Hamstrings, Calves Glutes LowerBack Quadriceps Traps,Kettlebells,Compound,Intermediate,No,Pull
Kettlebell Hang Clean,Strength,Hamstrings, Calves Glutes LowerBack Shoulders Traps,Kettlebells,Compound,Intermediate,No,Pull
Kettlebell Pass Between The Legs,Strength,Abdominals, Glutes Hamstrings Shoulders,Kettlebells,Compound,Intermediate,No,Pull
Kettlebell Pistol Squat,Strength,Quadriceps, Calves Glutes Hamstrings Shoulders,Kettlebells,Compound,Expert,No,Push
Kettlebell Seesaw Press,Strength,Shoulders, Triceps,Kettlebells,Compound,Intermediate,No,Push
Kettlebell Thruster,Strength,Shoulders, Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
Kettlebell Turkish Get-Up (Squat style),Strength,Shoulders, Abdominals Calves Hamstrings Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
Kipping Muscle Up,Strength,Lats, Abdominals Biceps Forearms MiddleBack Shoulders Traps Triceps,Other,Compound,Intermediate,No,Pull
Knee Circles,Stretching,Calves, Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Pull
Knee/Hip Raise On Parallel Bars,Strength,Abdominals,0,Other,Isolation,Beginner,No,Pull
Kneeling Cable Crunch With Alternating Oblique Twists,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
Kneeling Forearm Stretch,Stretching,Forearms,0,None,Isolation,Beginner,No,Static
Kneeling Hip Flexor,Stretching,Quadriceps, Quadriceps,None,Isolation,Beginner,No,Static
Kneeling Single-Arm High Pulley Row,Strength,Lats, Biceps MiddleBack,Cable,Compound,Beginner,No,Pull
Kettlebell Arnold Press,Strength,Shoulders, Triceps,Kettlebells,Compound,Intermediate,No,Push
Kettlebell Figure 8,Strength,Abdominals, Hamstrings Shoulders,Kettlebells,N/A,Intermediate,No,Pull
Kettlebell One-Legged Deadlift,Strength,Hamstrings, Glutes LowerBack,Kettlebells,Compound,Intermediate,No,Pull
Kettlebell Pirate Ships,Strength,Shoulders, Abdominals,Kettlebells,Compound,Beginner,No,Push
Kettlebell Seated Press,Strength,Shoulders, Triceps,Kettlebells,Compound,Intermediate,No,Push
Kettlebell Sumo High Pull,Strength,Traps, Adductors Glutes Hamstrings Quadriceps Shoulders,Kettlebells,Compound,Intermediate,No,Pull
Kettlebell Turkish Get-Up (Lunge style),Strength,Shoulders, Abdominals Hamstrings Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
Kettlebell Windmill,Strength,Abdominals, Glutes Hamstrings Shoulders Triceps,Kettlebells,Compound,Intermediate,No,Pull
Knee Across The Body,Stretching,Glutes, Abductors LowerBack,None,N/A,Beginner,No,Static
Knee Tuck Jump,Plyometrics,Hamstrings, Abductors Adductors Calves Glutes Quadriceps,BodyOnly,Compound,Beginner,No,Push
Kneeling Arm Drill,Plyometrics,Shoulders, Abdominals,None,N/A,Beginner,No,Pull
Kneeling Cable Triceps Extension,Strength,Triceps,0,Cable,Isolation,Intermediate,No,Push
Kneeling High Pulley Row,Strength,Lats, Biceps MiddleBack,Cable,Compound,Beginner,No,Pull
Kneeling Jump Squat,OlympicWeightlifting,Glutes, Calves Hamstrings Quadriceps,Barbell,Compound,Expert,No,Push
Kneeling Squat,Powerlifting,Glutes, Abdominals Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
'Landmine 180''s',Strength,Abdominals, Glutes LowerBack Shoulders,Barbell,Compound,Beginner,No,Pull
Lateral Bound,Plyometrics,Adductors, Abductors Calves Glutes Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Push
Lateral Cone Hops,Plyometrics,Adductors, Abductors Calves Glutes Hamstrings Quadriceps,Other,Compound,Beginner,No,Push
Latissimus Dorsi-SMR,Stretching,Lats,0,FoamRoll,Isolation,Beginner,No,Static
Leg Lift,Strength,Glutes, Hamstrings,BodyOnly,Isolation,Beginner,No,Push
Leg Pull-In,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Leg-Up Hamstring Stretch,Stretching,Hamstrings,0,None,Isolation,Beginner,No,Push
Leverage Deadlift,Strength,Quadriceps, Glutes Hamstrings,Machine,Compound,Beginner,No,Pull
Leverage High Row,Strength,MiddleBack, Lats,Machine,Compound,Beginner,No,Pull
Leverage Iso Row,Strength,Lats, Biceps MiddleBack,Machine,Compound,Beginner,No,Pull
Leverage Shrug,Strength,Traps, Forearms,Machine,Isolation,Beginner,No,Pull
Linear Acceleration Wall Drill,Plyometrics,Hamstrings, Calves Glutes Quadriceps,None,Compound,Beginner,Both,No
Log Lift,Strongman,Shoulders, Abdominals Chest Glutes Hamstrings LowerBack MiddleBack Quadriceps Traps Triceps,Other,Compound,Intermediate,Yes,Push
Looking At Ceiling,Stretching,Quadriceps,0,None,Isolation,Beginner,No,Static
Low Cable Triceps Extension,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Lower Back Curl,Stretching,Abdominals,0,BodyOnly,N/A,Beginner,No,Static
Lunge Pass Through,Strength,Hamstrings, Calves Glutes Quadriceps,Kettlebells,Compound,Intermediate,No,Push
Lying Bent Leg Groin,Stretching,Adductors,0,Other,N/A,Expert,No,Static
Lying Cambered Barbell Row,Strength,MiddleBack, Biceps Lats Traps,Barbell,Isolation,Beginner,No,Pull
Lying Close-Grip Barbell Triceps Extension Behind The Head,Strength,Triceps,0,Barbell,Isolation,Intermediate,No,Push
Lying Crossover,Stretching,Abductors,0,BodyOnly,N/A,Expert,No,Static
Lying Face Down Plate Neck Resistance,Strength,Neck,0,Other,Isolation,Intermediate,No,Pull
Lying Glute,Stretching,Glutes, Abductors,BodyOnly,N/A,Expert,No,Static
Lying High Bench Barbell Curl,Strength,Biceps,0,Barbell,Isolation,Intermediate,No,Pull
Lying Machine Squat,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
Lying Prone Quadriceps,Stretching,Quadriceps,0,BodyOnly,N/A,Expert,No,N/A
Lying Supine Dumbbell Curl,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Lying Triceps Press,Strength,Triceps,0,E-ZCurlBar,Isolation,Intermediate,No,Push
Landmine Linear Jammer,Strength,Shoulders, Abdominals Calves Chest Hamstrings Quadriceps Triceps,Barbell,Compound,Intermediate,No,Push
Lateral Box Jump,Plyometrics,Adductors, Abductors Calves Glutes Hamstrings Quadriceps,Other,Compound,Beginner,No,Push
Lateral Raise - With Bands,Strength,Shoulders,0,Bands,Isolation,Beginner,No,Push
Leg Extensions,Strength,Quadriceps,0,Machine,Isolation,Beginner,No,Push
Leg Press,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Beginner,No,Push
Leg-Over Floor Press,Strength,Chest, Shoulders Triceps,Kettlebells,Compound,Intermediate,No,Push
Leverage Chest Press,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,Push
Leverage Decline Chest Press,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,Push
Leverage Incline Chest Press,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,Push
Leverage Shoulder Press,Strength,Shoulders, Triceps,Machine,Compound,Beginner,No,Push
Linear 3-Part Start Technique,Plyometrics,Hamstrings, Calves Quadriceps,None,Compound,Beginner,No,Push
Linear Depth Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings,Other,Compound,Intermediate,No,Push
London Bridges,Strength,Lats, Biceps Forearms MiddleBack,Other,Compound,Intermediate,No,Pull
Low Cable Crossover,Strength,Chest, Shoulders,Cable,Isolation,Beginner,No,Push
Low Pulley Row To Neck,Strength,Shoulders, Biceps MiddleBack Traps,Cable,Compound,Beginner,No,Pull
Lower Back-SMR,Stretching,LowerBack,0,FoamRoll,N/A,Beginner,No,Static
Lunge Sprint,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
Lying Cable Curl,Strength,Biceps,0,Cable,Isolation,Intermediate,No,Pull
Lying Close-Grip Bar Curl On High Pulley,Strength,Biceps,0,Cable,Isolation,Beginner,No,Pull
Lying Close-Grip Barbell Triceps Press To Chin,Strength,Triceps,0,E-ZCurlBar,Isolation,Intermediate,No,Push
Lying Dumbbell Tricep Extension,Strength,Triceps, Chest Shoulders,Dumbbell,Isolation,Intermediate,No,Push
Lying Face Up Plate Neck Resistance,Strength,Neck,0,Other,Isolation,Intermediate,No,Pull
Lying Hamstring,Stretching,Hamstrings, Calves,Other,N/A,Expert,No,Static
Lying Leg Curls,Strength,Hamstrings,0,Machine,Isolation,Beginner,No,Pull
Lying One-Arm Lateral Raise,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Pull
Lying Rear Delt Raise,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Pull
Lying T-Bar Row,Strength,MiddleBack, Biceps Lats,Machine,Compound,Intermediate,No,Pull
Machine Bench Press,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,Push
Machine Preacher Curls,Strength,Biceps,0,Machine,Isolation,Beginner,No,Pull
Machine Triceps Extension,Strength,Triceps,0,Machine,Isolation,Beginner,No,Push
Medicine Ball Full Twist,Plyometrics,Abdominals, Shoulders,MedicineBall,Compound,Beginner,No,Pull
Middle Back Shrug,Strength,MiddleBack,0,Dumbbell,Isolation,Intermediate,No,Pull
Mixed Grip Chin,Strength,MiddleBack, Biceps Lats,Other,Compound,Expert,No,Pull
Mountain Climbers,Plyometrics,Quadriceps, Chest Hamstrings Shoulders,None,Compound,Beginner,No,Pull
Muscle Snatch,OlympicWeightlifting,Hamstrings, Glutes LowerBack Quadriceps Shoulders Triceps,Barbell,Compound,Intermediate,No,Pull
Machine Bicep Curl,Strength,Biceps,0,Machine,Isolation,Beginner,No,Pull
Machine Shoulder (Military) Press,Strength,Shoulders, Triceps,Machine,Compound,Beginner,No,Push
Medicine Ball Chest Pass,Plyometrics,Chest, Shoulders Triceps,MedicineBall,Compound,Beginner,No,Push
Medicine Ball Scoop Throw,Plyometrics,Shoulders, Abdominals Hamstrings Quadriceps,MedicineBall,Compound,Beginner,No,Push
Middle Back Stretch,Stretching,MiddleBack, Abdominals Lats LowerBack,None,Isolation,Beginner,No,Static
Monster Walk,Strength,Abductors,0,Bands,Compound,Beginner,No,Pull
Moving Claw Series,Plyometrics,Hamstrings, Calves Quadriceps,None,Compound,Beginner,No,N/A
Muscle Up,Strength,Lats, Abdominals Biceps Forearms MiddleBack Shoulders Traps Triceps,Other,Compound,Intermediate,No,Pull
Narrow Stance Hack Squats,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
Narrow Stance Squats,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
Neck Press,Strength,Chest, Shoulders Triceps,Barbell,Compound,Intermediate,No,Push
Narrow Stance Leg Press,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
Natural Glute Ham Raise,Strength,Hamstrings, Calves Glutes LowerBack,BodyOnly,Compound,Intermediate,No,Pull
Neck-SMR,Stretching,Neck,0,Other,N/A,Intermediate,No,Static
Oblique Crunches,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Olympic Squat,OlympicWeightlifting,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Intermediate,Yes,Push
On-Your-Back Quad Stretch,Stretching,Quadriceps,0,Other,Isolation,Beginner,No,Static
One Arm Chin-Up,Strength,MiddleBack, Biceps Forearms Lats,Other,Compound,Expert,No,Pull
One Arm Dumbbell Preacher Curl,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
One Arm Lat Pulldown,Strength,Lats, Biceps MiddleBack,Cable,Compound,Beginner,No,Pull
One Arm Supinated Dumbbell Triceps Extension,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
One Handed Hang,Stretching,Lats, Biceps,Other,N/A,Beginner,No,Static
One Leg Barbell Squat,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Expert,No,Push
One-Arm Flat Bench Dumbbell Flye,Strength,Chest,0,Dumbbell,Isolation,Beginner,No,Push
One-Arm Incline Lateral Raise,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
One-Arm Kettlebell Clean and Jerk,Strength,Shoulders,0,Kettlebells,Compound,Intermediate,No,Push
One-Arm Kettlebell Jerk,Strength,Shoulders, Calves Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
One-Arm Kettlebell Para Press,Strength,Shoulders, Triceps,Kettlebells,Compound,Intermediate,No,Push
One-Arm Kettlebell Row,Strength,MiddleBack, Biceps Lats,Kettlebells,Compound,Intermediate,No,Pull
One-Arm Kettlebell Split Jerk,Strength,Shoulders, Glutes Hamstrings Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
One-Arm Kettlebell Swings,Strength,Hamstrings, Calves Glutes LowerBack Shoulders,Kettlebells,Compound,Intermediate,No,Pull
One-Arm Medicine Ball Slam,Strength,Abdominals, Lats Shoulders,MedicineBall,Compound,Beginner,No,Pull
One-Arm Overhead Kettlebell Squats,Strength,Quadriceps, Calves Glutes Hamstrings Shoulders,Kettlebells,Compound,Expert,No,Push
One-Arm Side Laterals,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Open Palm Kettlebell Clean,Strength,Hamstrings, Glutes LowerBack Quadriceps Shoulders,Kettlebells,Compound,Expert,No,Pull
Overhead Cable Curl,Strength,Biceps,0,Cable,Isolation,Intermediate,No,Pull
Overhead Slam,Plyometrics,Lats,0,MedicineBall,Compound,Beginner,No,Pull
Overhead Stretch,Stretching,Abdominals, Chest Forearms Lats Triceps,None,Compound,Beginner,No,Static
Oblique Crunches - On The Floor,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
On Your Side Quad Stretch,Stretching,Quadriceps,0,None,Isolation,Beginner,No,Static
One Arm Against Wall,Stretching,Lats,0,None,Isolation,Beginner,No,Static
One Arm Dumbbell Bench Press,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
One Arm Floor Press,Strength,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
One Arm Pronated Dumbbell Triceps Extension,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
One Half Locust,Stretching,Quadriceps, Abdominals Biceps Chest,None,N/A,Beginner,No,Static
One Knee To Chest,Stretching,Glutes, Hamstrings LowerBack,None,Compound,Beginner,No,Static
One-Arm Dumbbell Row,Strength,MiddleBack, Biceps Lats Shoulders,Dumbbell,Compound,Beginner,No,Pull
One-Arm High-Pulley Cable Side Bends,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
One-Arm Kettlebell Clean,Strength,Hamstrings, Glutes LowerBack Shoulders Traps,Kettlebells,Compound,Intermediate,No,Pull
One-Arm Kettlebell Floor Press,Strength,Chest, Triceps,Kettlebells,Compound,Intermediate,No,Push
One-Arm Kettlebell Military Press To The Side,Strength,Shoulders, Triceps,Kettlebells,Compound,Intermediate,No,Push
One-Arm Kettlebell Push Press,Strength,Shoulders, Calves Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
One-Arm Kettlebell Snatch,Strength,Shoulders, Calves Glutes Hamstrings LowerBack Traps Triceps,Kettlebells,Compound,Expert,No,Pull
One-Arm Kettlebell Split Snatch,Strength,Shoulders, Hamstrings Quadriceps,Kettlebells,Compound,Expert,No,Pull
One-Arm Long Bar Row,Strength,MiddleBack, Biceps Lats,Barbell,Compound,Beginner,No,Pull
One-Arm Open Palm Kettlebell Clean,Strength,Hamstrings, Forearms Glutes LowerBack Quadriceps Shoulders,Kettlebells,Compound,Intermediate,No,Pull
One-Arm Side Deadlift,Strength,Quadriceps, Abdominals Calves Glutes Hamstrings LowerBack Traps,Barbell,Compound,Expert,No,Pull
One-Legged Cable Kickback,Strength,Glutes, Hamstrings,Cable,Isolation,Intermediate,No,Push
Otis-Up,Strength,Abdominals, Chest Shoulders Triceps,Other,Compound,Beginner,No,Pull
Overhead Lat,Stretching,Lats, Triceps,Other,N/A,Expert,No,Static
Overhead Squat,OlympicWeightlifting,Quadriceps, Abdominals Calves Glutes Hamstrings LowerBack Shoulders Triceps,Barbell,Compound,Expert,No,Push
Overhead Triceps,Stretching,Triceps, Lats,BodyOnly,N/A,Expert,No,Static
Pallof Press With Rotation,Strength,Abdominals, Chest Shoulders Triceps,Cable,Compound,Beginner,No,Pull
Palms-Down Wrist Curl Over A Bench,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
Palms-Up Dumbbell Wrist Curl Over A Bench,Strength,Forearms,0,Dumbbell,Isolation,Beginner,No,Pull
